"","STATE","COUNTYNAME","param"
"1","AL","Alabama",1.83339595976745e-05
"2","AL","Autauga County",1.89120154120785e-05
"3","AL","Baldwin County",1.63677330875912e-05
"4","AL","Barbour County",2.57484239664988e-05
"5","AL","Bibb County",2.1011282228636e-05
"6","AL","Blount County",2.08376428203714e-05
"7","AL","Bullock County",3.08005838448147e-05
"8","AL","Butler County",2.45099155265975e-05
"9","AL","Calhoun County",2.24806067776752e-05
"10","AL","Chambers County",2.83134024851736e-05
"11","AL","Cherokee County",2.32063933892368e-05
"12","AL","Chilton County",2.22629895316779e-05
"13","AL","Choctaw County",2.11990444497277e-05
"14","AL","Clarke County",2.12069395714807e-05
"15","AL","Clay County",2.38515618989963e-05
"16","AL","Cleburne County",2.24914224365268e-05
"17","AL","Coffee County",1.87146106198333e-05
"18","AL","Colbert County",2.05913862217062e-05
"19","AL","Conecuh County",2.78308588299474e-05
"20","AL","Coosa County",2.25130133068902e-05
"21","AL","Covington County",2.18605358509178e-05
"22","AL","Crenshaw County",2.45133290463891e-05
"23","AL","Cullman County",2.06205468157119e-05
"24","AL","Dale County",2.29541510996899e-05
"25","AL","Dallas County",2.5209476719818e-05
"26","AL","DeKalb County",2.51697744208224e-05
"27","AL","Elmore County",1.81023104509694e-05
"28","AL","Escambia County",2.32908102890599e-05
"29","AL","Etowah County",2.2442411826186e-05
"30","AL","Fayette County",2.37607678986793e-05
"31","AL","Franklin County",2.46194090874079e-05
"32","AL","Geneva County",2.38085468160394e-05
"33","AL","Greene County",3.25007715812261e-05
"34","AL","Hale County",2.62609449496312e-05
"35","AL","Henry County",2.15382596935134e-05
"36","AL","Houston County",1.89079017229923e-05
"37","AL","Jackson County",2.21786042872604e-05
"38","AL","Jefferson County",1.48100371941333e-05
"39","AL","Lamar County",2.37985791849224e-05
"40","AL","Lauderdale County",1.92861038594498e-05
"41","AL","Lawrence County",2.25413939630562e-05
"42","AL","Lee County",1.83014985380145e-05
"43","AL","Limestone County",1.69599098117182e-05
"44","AL","Lowndes County",2.68821697069942e-05
"45","AL","Macon County",3.00200286999071e-05
"46","AL","Madison County",1.46827047398403e-05
"47","AL","Marengo County",2.24984971311158e-05
"48","AL","Marion County",2.4792705857736e-05
"49","AL","Marshall County",2.20218854065555e-05
"50","AL","Mobile County",1.9983295927063e-05
"51","AL","Monroe County",2.10999158088752e-05
"52","AL","Montgomery County",1.92877296544295e-05
"53","AL","Morgan County",1.93908238476696e-05
"54","AL","Perry County",3.26659170519407e-05
"55","AL","Pickens County",2.48981412126945e-05
"56","AL","Pike County",2.31193427011376e-05
"57","AL","Randolph County",2.47877021727364e-05
"58","AL","Russell County",2.59913751758021e-05
"59","AL","St. Clair County",1.83810179816582e-05
"60","AL","Shelby County",1.25930716331322e-05
"61","AL","Sumter County",3.0504690847323e-05
"62","AL","Talladega County",2.36485018467992e-05
"63","AL","Tallapoosa County",2.20913092086534e-05
"64","AL","Tuscaloosa County",1.83549073152814e-05
"65","AL","Walker County",2.15420497279278e-05
"66","AL","Washington County",2.02384848673921e-05
"67","AL","Wilcox County",2.82793483746061e-05
"68","AL","Winston County",2.16414108546146e-05
"69","AK","Alaska",1.44408699758882e-05
"70","AK","Aleutians East Borou",2.08733914985416e-05
"71","AK","Aleutians West Censu",1.68476668211682e-05
"72","AK","Anchorage Municipali",1.28031481821113e-05
"73","AK","Bethel Census Area",2.74346627384993e-05
"74","AK","Bristol Bay Borough",1.74127143317032e-05
"75","AK","Denali Borough",1.49228283978187e-05
"76","AK","Dillingham Census Ar",2.19962461270857e-05
"77","AK","Fairbanks North Star",1.49813226593315e-05
"78","AK","Haines Borough",1.89910630417067e-05
"79","AK","Hoonah-Angoon Census",2.23327997357475e-05
"80","AK","Juneau City and Boro",1.36477389225682e-05
"81","AK","Kenai Peninsula Boro",1.47226714983878e-05
"82","AK","Ketchikan Gateway Bo",1.60663170597172e-05
"83","AK","Kodiak Island Boroug",1.58826738757837e-05
"84","AK","Kusilvak Census Area",4.88203966534611e-05
"85","AK","Lake and Peninsula B",2.90613003172623e-05
"86","AK","Matanuska-Susitna Bo",1.4619302155294e-05
"87","AK","Nome Census Area",2.01964997430342e-05
"88","AK","North Slope Borough",1.81615694070557e-05
"89","AK","Northwest Arctic Bor",1.92163370838957e-05
"90","AK","Petersburg Census Ar",1.82465408237388e-05
"91","AK","Prince of Wales-Hyde",2.00390025670007e-05
"92","AK","Sitka City and Borou",1.61054242489245e-05
